errpreset,perfmode,nodes,coreType,actual_time (s),TTM (s),cost ($),energy (kJ)
liberal,Spectre,103,AMD EPYC 7601 32-Core Processor,777.5974,669.0,0.01205885701377,120.42
liberal,APS,103,AMD EPYC 7601 32-Core Processor,343.76020000000005,699.0,0.01259961293367,125.82
liberal,APS++,103,AMD EPYC 7601 32-Core Processor,202.09520000000003,103.0,0.0018565953249900001,18.54
conservative,Spectre,103,AMD EPYC 7601 32-Core Processor,3172.352,3351.0,0.060402436252830004,603.18
conservative,APS,103,AMD EPYC 7601 32-Core Processor,1481.778,1329.0,0.023955487251570002,239.22
conservative,APS++,103,AMD EPYC 7601 32-Core Processor,1064.3421999999998,1129.0,0.020350447785570002,203.22
moderate,Spectre,103,AMD EPYC 7601 32-Core Processor,1977.636,1990.0,0.0358701426867,358.2
moderate,APS,103,AMD EPYC 7601 32-Core Processor,1042.0742,1044.0,0.018818306012520002,187.92
moderate,APS++,103,AMD EPYC 7601 32-Core Processor,640.0134,700.0,0.012617638131000001,126.0
